PI_ID	ORG_NAME	DIRECT_COST_AMT	TOTAL_COST
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	5345564.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	2609341.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	3876464.0	
1986254	SCRIPPS RESEARCH INSTITUTE, THE	3991127.0	5759361.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	416084.0	564908.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	17046481.0	13819761.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	4665022.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	4894349.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	7123747.0	
6365670	SEATTLE CHILDREN'S HOSPITAL	162800.0	
6365670	SEATTLE CHILDREN'S HOSPITAL	596365.0	
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	513486.0	100565.0
1889666	FAMILY HEALTH INTERNATIONAL	8610708.0	8980894.0
7897640	BROAD INSTITUTE, INC.	890059.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	7037322.0	6747401.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	21360749.0	21360749.0
7897640	BROAD INSTITUTE, INC.	2531828.0	2774710.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	8817050.0	9769679.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	935415.0	935415.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	38892903.0	43124622.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	137499491.0	19807516.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	873746.0	1043588.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	876361.0	946881.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	14596172.0	14980054.0
11529936	RESEARCH TRIANGLE INSTITUTE	126725997.0	126725997.0
11529936	RESEARCH TRIANGLE INSTITUTE	9156816.0	9156816.0
11529936	RESEARCH TRIANGLE INSTITUTE	1000000.0	1000000.0
11529936	RESEARCH TRIANGLE INSTITUTE	37709210.0	37709210.0
1882834	NEW YORK UNIVERSITY SCHOOL OF MEDICINE	448283318.0	448283318.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	876361.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	873746.0	
11529936	RESEARCH TRIANGLE INSTITUTE	11150020.0	11150020.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	20518057.0	20566378.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	35421497.0	40164858.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	56748555.0	61429109.0
1889666	FAMILY HEALTH INTERNATIONAL	20179363.0	21074900.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	197372.0	230541.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	787648.0	803154.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	266276.0	302488.0
7897640	BROAD INSTITUTE, INC.	1849965.0	1849965.0
7897640	BROAD INSTITUTE, INC.	5000000.0	5000000.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	242599.0	1.0
7897640	BROAD INSTITUTE, INC.	56717022.0	57755973.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	787648.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	266276.0	
1860045	FRED HUTCHINSON CANCER CENTER	58287.0	102585.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	8900520.0	9845298.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	1993341.0	1916595.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	22569138.0	16584274.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	3721881.0	4062344.0
1889666	FAMILY HEALTH INTERNATIONAL	44014706.0	46655899.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	20950316.0	23169744.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	36011135.0	40823093.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	39089354.0	36091763.0
1882834	NEW YORK UNIVERSITY SCHOOL OF MEDICINE	225000.0	378955.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	4319033.0	4929565.0
11529936	RESEARCH TRIANGLE INSTITUTE	260710.0	425631.0
7897640	BROAD INSTITUTE, INC.	16136847.0	16668412.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	18220767.0	14772113.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	4474935.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	4693859.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	6933649.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	15367889.0	9198412.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	5030829.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	2455299.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	3648227.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	474371.0	667493.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	374030.0	338421.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	3958188.0	5542539.0
6365670	SEATTLE CHILDREN'S HOSPITAL	162798.0	
6365670	SEATTLE CHILDREN'S HOSPITAL	596365.0	
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	503826.0	540132.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	6800380.0	6470524.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	250000.0	311154.0
7897640	BROAD INSTITUTE, INC.	11140443.0	7333873.0
7897640	BROAD INSTITUTE, INC.	1030072.0	
